subject,run,scene,TR (scene),TR (run),sec (scene)
1033,8,3,39,125,47.5278817
1033,8,5,30,189,37.17559226
1033,8,5,41,199,49.40903952
1033,8,5,60,218,72.5903274
1033,8,5,65,223,79.14013057
1033,9,1,13,13,15.99346041
1033,9,2,21,68,25.58465095
1033,10,1,13,13,16.7452648
1033,10,1,17,17,20.70790692
1033,10,5,14,127,17.9093816
1039,2,1,21,21,25.2936762
1039,2,2,37,83,44.85791998
1039,3,1,10,10,12.44411601
1039,4,3,23,95,27.71641574
1039,4,4,50,154,60.58128377
1039,4,5,40,213,48.48570673
1039,5,1,16,16,19.86524512
1039,5,1,49,49,59.48820521
1039,5,3,0,123,0.141228531
1039,5,4,46,203,55.61926908
1039,6,1,29,29,35.4358777
1039,6,3,44,109,53.65612156
1039,7,1,6,6,8.280091677
1039,7,1,18,18,22.50446725
1039,7,2,17,69,20.66558771
1039,7,2,42,94,51.56614001
1039,9,1,5,5,7.10912856
1039,9,3,22,99,27.13844918
1039,10,2,23,66,28.59508336
1039,10,5,34,148,41.6455106
2006,1,1,15,15,18.11376541
2006,1,1,32,32,38.59216538
2006,1,3,6,79,8.394143312
2006,1,5,15,129,18.49302246
2006,1,5,64,178,77.12824347
2006,2,1,10,10,12.31682443
2006,2,1,38,38,46.47191936
2006,2,2,6,62,7.899627873
2006,2,3,24,88,29.20950788
2006,2,3,43,107,51.72791367
2006,2,4,27,140,33.54617394
2006,2,5,15,184,18.99757337
2006,2,5,33,202,40.22579933
2006,3,1,11,11,13.61305613
2006,3,1,18,18,22.6198837
2006,3,2,7,45,9.350640024
2006,3,3,30,118,37.17993505
2006,3,3,42,129,50.69168006
2006,3,4,3,136,4.639922473
2006,3,5,9,168,11.60891122
2006,4,1,16,16,20.27821471
2006,4,2,10,75,12.98682876
2006,4,3,16,97,19.52959972
2006,4,4,9,131,11.77777359
2006,4,4,56,178,67.20706925
2006,5,1,26,26,31.33945773
2006,5,2,16,62,19.49115716
2006,5,2,26,72,31.49887505
2006,5,4,33,148,40.72630118
2006,6,1,2,2,3.51574952
2006,6,1,10,10,12.98621281
2006,6,2,8,55,9.817429844
2006,6,3,11,88,14.14741643
2006,6,3,25,102,30.24809732
2006,7,1,33,33,40.0526038
2006,7,1,43,43,52.68693411
2006,7,2,6,58,7.350641886
2006,7,2,43,95,51.60395036
2006,7,3,27,139,33.38432856
2006,8,1,27,27,32.58409973
2006,8,1,49,49,59.65946605
2006,8,4,41,198,49.60578217
2006,9,2,5,30,6.141927015
2006,9,2,40,65,48.68909625
2006,9,5,10,183,12.93971152
2006,9,5,40,213,48.60163893
2006,10,2,27,67,32.91604836
2006,10,3,15,87,18.99850488
2006,10,4,24,128,29.50173963
2006,10,5,37,210,45.1035844
2009,2,1,7,7,8.896552766
2009,2,3,0,64,0.138280912
2009,2,3,20,84,24.40859547
2009,2,4,12,125,14.77943222
2009,2,5,20,189,24.99294231
2009,3,1,12,12,14.94009949
2009,3,3,13,99,16.4909919
2009,3,3,37,123,44.52007377
2009,3,5,10,168,12.94276769
2009,3,5,61,219,73.70625824
2009,4,1,13,13,15.94644096
2009,4,3,10,91,12.56833612
2009,4,4,8,130,10.48310611
2009,4,5,32,215,39.46817656
2009,5,1,18,18,21.91302653
2009,5,2,16,62,19.23585065
2009,5,3,4,96,5.148278203
2009,5,3,16,108,19.45428533
2009,6,1,27,27,33.22102258
2009,6,3,18,95,22.45621268
2009,6,4,17,167,21.16474057
2009,7,1,20,20,24.16076968
2009,7,1,42,42,51.39908965
2009,7,2,3,55,4.060517244
2009,8,2,16,83,19.48805212
2009,8,3,32,155,39.21879077
2009,9,1,7,7,9.353630111
2009,9,2,27,52,32.49966542
2009,9,5,77,250,92.44113517
2009,10,2,23,63,27.67037198
2009,10,3,21,93,25.24545726
2009,10,4,9,113,11.40154546
2012,1,2,21,65,25.29136033
2012,1,5,49,164,59.90426677
2012,2,1,5,5,6.81222035
2012,2,5,17,186,21.20004918
2012,2,5,32,201,39.17985508
2012,3,2,6,43,8.103718444
2012,3,3,30,116,36.42554006
2012,3,4,5,137,6.023617112
2012,3,5,15,173,19.07359202
2012,4,3,36,118,44.06358894
2012,4,4,6,129,8.314925845
2012,4,4,56,179,67.45720056
2012,5,1,43,43,51.85880534
2012,5,3,18,110,21.74883925
2012,5,5,7,159,8.857799046
2012,6,1,35,36,43.18912301
2012,6,2,5,52,6.988051706
2012,6,3,14,91,17.6158694
2012,6,3,18,95,22.50315885
2012,7,1,18,18,22.20814443
2012,7,2,23,75,28.71264422
2012,7,2,43,95,52.23366748
2012,8,1,48,48,58.11335841
2012,9,2,11,36,13.4435879
2012,9,5,49,222,59.95482079
2012,10,2,24,64,29.54803599
2012,10,3,25,97,30.08519242
2012,10,5,14,186,17.23644779
2015,1,2,26,69,31.29606575
2015,1,5,46,160,55.27635682
2015,2,1,4,4,5.936985788
2015,2,1,22,22,26.66586678
2015,2,3,25,89,30.33773679
2015,2,3,29,93,35.46701074
2015,2,4,2,115,3.559415885
2015,2,5,32,201,38.63101591
2015,3,2,26,65,32.37759704
2015,3,3,43,130,52.19432565
2015,3,5,17,176,20.99073381
2015,3,5,25,184,30.04293188
2015,3,5,71,230,85.55667803
2015,4,1,17,17,20.7051864
2015,4,3,5,86,6.853586759
2015,4,4,8,130,9.900923787
2015,4,4,12,134,14.95019401
2015,5,2,43,89,51.94000338
2015,5,3,15,107,18.45178291
2015,5,4,24,139,29.00683379
2015,5,5,12,165,14.40360561
2015,6,1,3,3,4.186253642
2015,6,2,11,58,14.03318156
2015,6,3,20,97,25.16161606
2015,6,3,69,146,83.09389299
2015,6,4,19,169,22.86980356
2015,7,1,18,18,21.66328319
2015,7,1,40,40,48.39759129
2015,7,2,16,68,19.62229945
2015,7,2,42,94,51.22777917
2015,7,3,27,139,33.45936795
2015,8,2,27,94,32.58891914
2015,8,3,8,131,10.64631358
2015,8,4,44,201,53.93944964
2015,8,5,11,217,13.65128907
2015,9,1,22,22,26.41621652
2015,9,2,38,63,45.72036739
2015,9,4,18,145,22.61987577
2015,9,5,47,220,56.77755322
2015,10,3,18,90,22.24481246
2015,10,4,27,131,33.00766881
2015,10,4,44,148,53.06767671
2015,10,5,50,223,61.0753232
2018,1,1,15,15,18.41137868
2018,1,1,28,28,33.63341151
2018,1,2,8,52,9.776116036
