subject,parcel,retrieval,reinstatement.m10TR,reinstatement.m9TR,reinstatement.m8TR,reinstatement.m7TR,reinstatement.m6TR,reinstatement.m5TR,reinstatement.m4TR,reinstatement.m3TR,reinstatement.m2TR,reinstatement.m1TR,reinstatement.0TR,reinstatement.1TR,reinstatement.2TR,reinstatement.3TR,shift.m10TR,shift.m9TR,shift.m8TR,shift.m7TR,shift.m6TR,shift.m5TR,shift.m4TR,shift.m3TR,shift.m2TR,shift.m1TR,shift.0TR,shift.1TR,shift.2TR,shift.3TR
1005,19,1,-0.240068979,-0.305065685,-0.126924197,-0.21514706,0.010777568,0.215385101,0.043393876,0.007999022,0.097648349,-0.005590065,-0.023647143,-0.014238328,0.129886151,-0.078287775,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1005,19,0,0.015325404,0.129748649,-0.018107328,-0.084860335,0.145601053,0.013238734,-0.051599546,0.093953155,-0.024149835,0.09361505,0.039441803,-0.107374511,0.106268609,0.185613505,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1005,19,1,nan,nan,0.035014783,-0.120491684,0.125476824,0.176834347,0.040604064,0.102820162,0.312311514,-0.177032448,-0.043739917,-0.099836009,0.047115655,-0.069494263,nan,nan,nan,nan,nan,nan,0,0,0,1,0,0,0,0
1005,19,1,0.009273417,0.163739817,0.015528551,0.094058029,0.140082861,0.104714528,0.266887345,0.191611549,0.152917829,0.091568047,0.078718863,-0.217542357,-0.250993083,0.037071138,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1005,19,0,0.175327792,-0.074421779,-0.116386737,0.129449836,0.283428411,0.149147042,0.070511221,-0.090187523,-0.390853632,-0.199695658,-0.164440818,0.037101197,-0.128743793,0.157396668,nan,nan,nan,0,0,1,0,0,1,0,0,1,0,0
1005,19,0,-0.17734337,0.052115127,0.061746403,-0.033227035,0.239072788,-0.008271693,0.076330227,0.090477237,-0.369071376,-0.042898568,-0.042866041,-0.004579042,-0.233818441,-0.032994471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
1005,19,1,0.072735347,0.122250865,0.242759273,0.037951601,-0.192418088,0.134463747,0.321367151,0.139877145,0.016464463,0.097562964,0.189918777,0.209904742,-0.013978,-0.135203862,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
1005,19,1,-0.264932008,0.130130122,0.011317423,-0.121029144,-0.03073551,-0.103569871,0.224878583,-0.200441695,-0.141312023,0.048543045,0.168486916,0.103885375,0.114993328,0.33592,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1008,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1008,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,0,1,0,0,1,0,0,0,1,0,0,1
1008,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1008,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1008,19,1,0.100387846,0.218689409,0.106949299,0.173008978,-0.231998518,-0.080922169,-0.226754528,-0.277245255,0.014141675,-0.111872352,0.012549685,-0.073987857,-0.106334597,0.305827182,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1008,19,0,-0.069066804,0.005372973,0.153910243,0.218475244,0.12235543,0.324516664,-0.152323123,-0.07440366,0.080701362,0.209487351,-0.030745519,-0.093490827,0.257535927,-0.004795841,nan,nan,nan,nan,nan,nan,0,0,0,1,0,0,0,0
